model_id,profile,repeat,task_id,status,passed,partial_score,confidence,wall_seconds,input_tokens,output_tokens,cost_usd,grader_id,notes
REPLACE_MODEL_ID,full,1,T101,pending,,,,,,,,,
REPLACE_MODEL_ID,full,1,T102,pending,,,,,,,,,
REPLACE_MODEL_ID,full,1,T201,pending,,,,,,,,,
REPLACE_MODEL_ID,full,1,T202,pending,,,,,,,,,
REPLACE_MODEL_ID,full,1,T301,pending,,,,,,,,,
REPLACE_MODEL_ID,full,1,T302,pending,,,,,,,,,
REPLACE_MODEL_ID,full,1,T401,pending,,,,,,,,,
REPLACE_MODEL_ID,full,1,T402,pending,,,,,,,,,
REPLACE_MODEL_ID,full,1,T501,pending,,,,,,,,,
REPLACE_MODEL_ID,full,1,T502,pending,,,,,,,,,
REPLACE_MODEL_ID,full,1,T601,pending,,,,,,,,,
REPLACE_MODEL_ID,full,1,T602,pending,,,,,,,,,
REPLACE_MODEL_ID,full,1,T701,pending,,,,,,,,,
REPLACE_MODEL_ID,full,1,T702,pending,,,,,,,,,
REPLACE_MODEL_ID,full,1,T801,pending,,,,,,,,,
REPLACE_MODEL_ID,full,1,T802,pending,,,,,,,,,
REPLACE_MODEL_ID,full,2,T101,pending,,,,,,,,,
REPLACE_MODEL_ID,full,2,T102,pending,,,,,,,,,
REPLACE_MODEL_ID,full,2,T201,pending,,,,,,,,,
REPLACE_MODEL_ID,full,2,T202,pending,,,,,,,,,
REPLACE_MODEL_ID,full,2,T301,pending,,,,,,,,,
REPLACE_MODEL_ID,full,2,T302,pending,,,,,,,,,
REPLACE_MODEL_ID,full,2,T401,pending,,,,,,,,,
REPLACE_MODEL_ID,full,2,T402,pending,,,,,,,,,
REPLACE_MODEL_ID,full,2,T501,pending,,,,,,,,,
REPLACE_MODEL_ID,full,2,T502,pending,,,,,,,,,
REPLACE_MODEL_ID,full,2,T601,pending,,,,,,,,,
REPLACE_MODEL_ID,full,2,T602,pending,,,,,,,,,
REPLACE_MODEL_ID,full,2,T701,pending,,,,,,,,,
REPLACE_MODEL_ID,full,2,T702,pending,,,,,,,,,
REPLACE_MODEL_ID,full,2,T801,pending,,,,,,,,,
REPLACE_MODEL_ID,full,2,T802,pending,,,,,,,,,
REPLACE_MODEL_ID,full,3,T101,pending,,,,,,,,,
REPLACE_MODEL_ID,full,3,T102,pending,,,,,,,,,
REPLACE_MODEL_ID,full,3,T201,pending,,,,,,,,,
REPLACE_MODEL_ID,full,3,T202,pending,,,,,,,,,
REPLACE_MODEL_ID,full,3,T301,pending,,,,,,,,,
REPLACE_MODEL_ID,full,3,T302,pending,,,,,,,,,
REPLACE_MODEL_ID,full,3,T401,pending,,,,,,,,,
REPLACE_MODEL_ID,full,3,T402,pending,,,,,,,,,
REPLACE_MODEL_ID,full,3,T501,pending,,,,,,,,,
REPLACE_MODEL_ID,full,3,T502,pending,,,,,,,,,
REPLACE_MODEL_ID,full,3,T601,pending,,,,,,,,,
REPLACE_MODEL_ID,full,3,T602,pending,,,,,,,,,
REPLACE_MODEL_ID,full,3,T701,pending,,,,,,,,,
REPLACE_MODEL_ID,full,3,T702,pending,,,,,,,,,
REPLACE_MODEL_ID,full,3,T801,pending,,,,,,,,,
REPLACE_MODEL_ID,full,3,T802,pending,,,,,,,,,
